Company name,Brief description,Protein category,Company focus,Current round,Target deal size,Amount raised to date for this round,Total investment to date,Asset type,Target investor types,Pitch deck (optional),Video of pitch (optional),Technology Focus (from Database link),Product type,Animal-type analog,Ingredient type,Operating regions,Country,Founders,Year founded,Contact email,Website
Magic Valley,Australia-based company producing cultivated lamb meat,Cultivated,Meat,Seed,$3 millon,"$200,000","$200,000",SAFE,"Angel ,Venture capital ,Family office,Strategic or corporate,Private equity",Magic Valley Deck 0621.pdf (https://v5.airtableusercontent.com/v1/14/14/1674252000000/w8Xl1ZoFYH1JAdMPyi6c8Q/9neOer_RJIbtcbzquRA-AzWKrL6E47c69v8hxJR4UniKn9wRHUz2lUKYzF21HT6DIX6-yvlZKEEZk8wg728xveha3WPLINe3Ainr0xd8xd4/Sy1ZDb0mpDkfYF7dMXpEwEuhOqbrygDfpx4LYXqLtAk),https://youtu.be/a7lt1P92Bkw,End product formulation and manufacturing,"Whole muscle meat,Other meat,Ground meat",Mutton/lamb,,Australia/New Zealand,Australia,Paul Bevan,2021,paul@magicvalley.com.au,https://magicvalley.com.au/
Innocent Meat,"Germany-based company providing meat processors with an automated end-to-end clean meat production system, allowing producers of conventional meat to update supply chain and produce cultivated meat",Cultivated,Meat,Series A ,$2.5 million,$0,"$600,000",Equity,"Venture capital ,Private equity,Family office,Angel ",Pitch-Deck-Innocent-Meat July 2021.pdf (https://v5.airtableusercontent.com/v1/14/14/1674252000000/LbGbQslNdE2C1wvMiTodsQ/zukrb5c5j35T29brXy_4V9Q5lle_ONTTrHY4sft6dBVgG79lP4lFrhkMLbi5W0muA4OaIlt3WazH9_DDR61xzBQE4ZFPEV8PRBkVJvsFWCY_Wyl3DBU13fRyQFKuUFpJ/lZERx6y8OjCRxeWy5bPrHU3NDG8PafZ0dnKxxI5hVfY),,Bioprocess design,Ground meat,,,Europe,Germany,"Laura Gertenbach, Philipp Wolters",2018,laura.gertenbach@innocent-meat.com,http://www.innocent-meat.com/
Shiok Meats,"Singapore-based company producing cultivated seafood, including crustaceans like shrimps, crabs, and lobsters",Cultivated,Seafood,Series B,$20 million,N/A,$30 million,SAFE,"Strategic or corporate,Venture capital ,Sovereign wealth fund",,,End product formulation and manufacturing,Whole muscle meat,"Fish,Shellfish,Crab",,Asia Pacific,Singapore,"Sandhya Sriram, Ka Yi Ling",2018,shikha.m@shiokmeats.com,https://shiokmeats.com/
Smallfood Inc. ,Canadian company that produces novel proteins sourced from micro-algae. ,Biomass fermentation,Ingredients and inputs,Series B,$30 million,$0,$20 million,"Equity,Convertible debt,General debt","Family office,Strategic or corporate,Venture capital ,Bank",,,Ingredient optimization,Other,,Other,U.S. and Canada,Canada,Marc St-Onge,2018,mstonge@smallfood.com ,www.smallfood.com
3D Bio-Tissues,"U.K.-based research entity aimed at improving tissue engineering using in-house engineering platform ""Tissue Templating,"" producing human skin, human cornea, and lab-grown meat.",Cultivated,"Ingredients and inputs,Meat",Merger/acquisition,$2.5 million ,"$500,000",0.75,Equity,"Venture capital ,Family office,Strategic or corporate,Private equity,Bank,Foundation,Sovereign wealth fund,Hedge fund",,,"Bioprocess design,End product formulation and manufacturing,Scaffolding and structure",Whole muscle meat,,,Europe,United Kingdom,"Che Connon, Ricardo Gouveia",2018,che.connon@3dbiotissues.com,https://www.3dbiotissues.com/
Defined Bioscience,"San Diego-based company that produces ingredients for cell culture with a mission to make cultured cells easy to grow and produce, using animal-free and defined ingredients.",Cultivated,"Bioprocessing infrastructure and equipment,Ingredients and inputs,Meat,Seafood",Seed,5,0,1.7,"Equity,SAFE","Venture capital ,Strategic or corporate,Private equity",,,"Cell culture media,Cell line development",,,,U.S. and Canada,United States,,2020,info@definedbioscience.com,definedbioscience.com
Vhismark Enterprises,"Kenya-based company that deals with conventional and plant-based dairy products, including developing crops and ingredients. ",Plant-based,"Dairy,Ingredients and inputs,Contract manufacturing/processing",Seed,0.75,0,0.02,"SAFE,Equity,Convertible debt,Other","Angel ,Accelerator/incubator,Venture capital ,Strategic or corporate,Private equity,Endowment,Foundation,Sovereign wealth fund,Hedge fund,Other",Investment Pitch.pdf (https://v5.airtableusercontent.com/v1/14/14/1674252000000/UXGEi7AgRn-LtztqGn6EUg/22ZRPzJ5UvXRiP3S8GcKF0j4QZajL6kwWigepdO5x6HtLSkZFdiYegXSxMrOhrv4-K7HN1SOWsWb6Z7SQ5V1znyDSZzU3vnqWXBzj09eu1o/hNuhjlCizk81jAK3hv55UJPcDprgbKiSoDPxSCv6Weo),,"End product formulation and manufacturing,Ingredient optimization,Crop development","Milk,Cheese,Other dairy",Other,"Pea,Soy,Chickpea,Cashew,Coconut,Peanut,Potato",Africa/Middle East,Kenya,"Dr. Violet Okech, Naftali Helu, Ezekiel Obat",2017,sohelu07@yahoo.co.uk,https://vhismark.co.ke/
Biocellion,U.S.-based company developing cell culture modeling software to expedite cultivated meat R&D,Cultivated,Bioprocessing infrastructure and equipment,Seed,5,0,0,SAFE,"Venture capital ,Family office,Angel ,Strategic or corporate,Accelerator/incubator,Private equity,Foundation","20220308 Biocellion Pitch Deck v2.pdf (https://v5.airtableusercontent.com/v1/14/14/1674252000000/37IOVBh3FsniSD5Io8X90g/O56jlM4pXr7bZ5dndEtM6Hhe5mM15jA_UgVkreDsMRKRUv15gntYS0-yzG9_ixDTUHSi_b2VwuCkDZAJ1E3M86NfUnOKShtFwkVzIU1pDo-CufvSdfC3rr-ZnhUgPV8M/pyXlWJ1uocXPE7Xsjl8Mjj6glmGN1ckeKxGMR_LwOpM),Investor short story.pdf (https://v5.airtableusercontent.com/v1/14/14/1674252000000/ynDzQYBuU2LZIcOyGr13rg/gqaiNAc_4mwt3VDTm42woAPHdfyEKeKewcEGOIkKqYQLPxX-wygEr206ALGUnxQAU76RPiFReBYqbcx9jYzWh3OhD46meMzQcv0GoOIFWTM/kcabVdEnnyFQNs32LJOLUK1KJytE4rr6TyhQdUWQ7x8)",https://www.youtube.com/watch?v=At5JgXcg41U&t=37s,Bioprocess design,,,,U.S. and Canada,United States,Simon Kahan,2013,beth.macdonald@biocellion.com,https://biocellion.com/
Real Deal Milk,Spain-based company that produces milk and dairy products using precision fermentation ,Precision fermentation,Dairy,Seed,2.1,0,0.65,Equity,"Angel ,Venture capital ,Family office,Strategic or corporate",presentation-20-april-compressed.pdf (https://v5.airtableusercontent.com/v1/14/14/1674252000000/w_X0yFkOBUcNaaI3s9zGqA/TP3FjgSwzm31sGxjRdhBLeP0NDIRUFDbCTOQgCr5oGYxmeKtECN4QBzzIr0lXOOHEgFPv8LbRj0sLM04Vu35CgAADq1MOY3SfPRnBDxZt88LzwZ0tF3IdYY6dQ6fUMj5/6R-0vbax9nAKmtrCITIehHMq-tBkcbbKaz5E7Qf9sXk),https://www.youtube.com/watch?v=uUvvOfniEdY,End product formulation and manufacturing,"Milk,Other dairy",,"Yeast,Casein,Whey",Europe,Spain,Zoltan Toth-Czifra,2021,zoltan@realdealmilk.com,https://www.realdealmilk.com
Strive Nutrition Corp ,"US based company that develops Strive Brand Plant-Based beverages enriched with Animal-Free Whey Protein, Alt Milk produced with Animal-Free Whey Protein and Sports Protein Shakes and Protein Waters produced with Animal-Free Whey Protein.  ","Precision fermentation,Plant-based",Dairy,Seed,"$2,500,000",0,"$1,500,000","Equity,Convertible debt","Angel ,Venture capital ,Family office,Strategic or corporate",STRIVE Pitch Deck  REV2_3.16.22[43].pdf (https://v5.airtableusercontent.com/v1/14/14/1674252000000/7QS9thXLQKBi8ja_MvQ60A/A8ldWjPGmFOgS0icRiZ1jHTevp2GJLRupFHMu62J5U62vbSTTgqNyuKcfpl3BLpbTokT7yl-JPbeNyMg3jSV5C-A4HVeAEnSRVHrCaglJlu_kmk_uJxdQ-Kr1nWjLL_M/1m3ZQ5GgeUkwq23-N4qRHEGXesWdkkq0d5LRomk6_oM),,End product formulation and manufacturing,Milk,Other,Whey,"U.S. and Canada,Asia Pacific",United States,"Dennis, Janet and Austen Cohlmia ",2017,dennis@striveforbetter.com,www.striveforbetter.com
