Company,Brief Description,Protein Category,Company Focus,Technology Focus,Product Type,Animal-Type Analog,Ingredient Type,Operating Regions,Country/Region,State,City,Website,Year Founded,Founders,Logo
NUProtein Co.,"Japan-based company providing plant-based synthetic proteins for cultured media, such as growth factors and myoglobin of any animals from wheat germ",Cultivated,Ingredients and inputs,Cell culture media,,,,Asia Pacific,Japan,Hyogo,Tokushima,https://nuprotein.jp/en,2016,"Masataka Minami
",nulogo2.png (https://v5.airtableusercontent.com/v1/14/14/1674252000000/GxqiOK7kbhpXbcijLuugTQ/Pddg8JkVTTCZNeEIq1TgviJic_4PsMW9GQlQFZAGyFxONvdGXY9tw9cBo9Aw_gSLpCpKF-8CGi41BvEJn85OrN-lp15FOwMG3sW0LiU162M/P_4sA_RUdLg6JnySVUsXKO1tysow0V-1arlOdWr9r2U)
Vivax Bio (part of a larger business),Startup working on 3D bioprinting solutions for cultivated meat,Cultivated,Bioprocessing infrastructure and equipment,"Scaffolding and structure,Bioprocess design",,,,U.S. and Canada,United States,New York,New York,http://www.vivaxbio.com/,2018,Yakov Balahovsky ,Capture.JPG (https://v5.airtableusercontent.com/v1/14/14/1674252000000/ngiJl0zPGrxQNv6vrq472w/CDySggBy2VhfA9hkn2_fBLyWeNgjAc9J7GVw_Hw1-MlvLKoHf2XsgyIDOkNKUB7SQ1Y7rfn0mbVeexYwNHNIpTE5_eIzUHV1Rn04-3QBFss/RZ2N3mbLO5SEBar-LkLKEaJzWJh6FIVfesmbJ4KJOwM)
SunP Biotech ,US-based startup working on 3D bioprinters/bioink for cultivated meat and other applications.,Cultivated,Bioprocessing infrastructure and equipment,Scaffolding and structure,,,,U.S. and Canada,United States,New Jersey,Cherry Hill,https://sunpbiotech.com/,2014,Wei Sun,Screen Shot 2021-02-08 at 2_19_02 PM.png (https://v5.airtableusercontent.com/v1/14/14/1674252000000/ZU0KVN3pOhd5AHLiK8Sc3g/81NDo28YaRFRhtKILR31o3EnT75j4IBa0SEqcoNgm48sIhRXic5pVtWuP8bLwFIq-Lzso3eMce98EsJNXYMZXtuK3kMnXO0lYgSnBsK3HZqSNHY4ShFxNb3TSYtY5TBL/5Mo1826nfTZMnI2fV_2FOBrXfNGXnoC1OGs5aDDIOFk)
Cultured Blood,Netherlands-based startup working on manufacturing cultivated blood for the cultivated meat industry,Cultivated,Ingredients and inputs,Cell culture media,Other,,,Europe,Netherlands,,Eindhoven,http://culturedblood.com/,2019,Robert ten Hoor,ml52jpnt03e1jv4uybox.png (https://v5.airtableusercontent.com/v1/14/14/1674252000000/nS98q_RuZ9fU56cdgFyuOg/TK43Aw3MGk6FZ_2rZLlP427ohnwJSgnW5YzBc3gn5jLvt49TLgJfg48YPzoYHiy-5DyDeVGYrk64Daj9EqG5QH8clrtt0xeJOdTe6FQuh4c/fuPYzroXIYHnmVea2pQmHAF6yZ9Lup9gw-brI1dBHrc)
Steakholder Foods,Israel-based company producing 3D printed cultivated meat; collaborating with Umami Meats. (Formerly known as MeaTech 3D),Cultivated,"Meat,Bioprocessing infrastructure and equipment","Scaffolding and structure,End product formulation and manufacturing,Cell line development,3D printing,Bioprocess design","Whole muscle meat,Ground meat,Other",Beef/veal,,Africa/Middle East,Israel,,Rehovot,https://steakholderfoods.com/,2019,,Meatech-menu-logo-02.png (https://v5.airtableusercontent.com/v1/14/14/1674252000000/nPMEGnrAiMTu-cvoJoVpyA/paBXxnXR8k82GiKh2f6AHMqO0s2SR5vxKqk8oFcfOBGy59N1DQTAEMSEcvbzQtuEpZHqEY4KrMaGJkMFefwG-hMdxflPCJvmzuHhHpOVm9g/QFTjbFcRTthPWSudJ-l_8_449-9KsGgtNKQj21CQBe0)
Agulos Biotech,U.S.-based startup developing Simulated Platelet Lysate (porcine) as a replacement for fetal bovine serum.,Cultivated,Bioprocessing infrastructure and equipment,Cell culture media,,Beef/veal,,U.S. and Canada,United States,Wisconsin,Lake Mills,http://agulosbiotech.com/,2017,Jonathan Irwin,download (1).png (https://v5.airtableusercontent.com/v1/14/14/1674252000000/Td5RBRkk2BSdTV75t23Nhg/3tKaBDUvQ2V5oFRzNXtzie4DQcVtp1U-jUEEBE5rY22VFSrvtNfdjWCA6RaNMVtxn0lmq8_X5y8Jwgo2Oe658NHs8wqhewFQqNeSNW4mMJM/J9mAi2nCW-HYrlo1_PcEsOkWZFkD3VlSvMgwMApb5Hk)
Incuvers,Startup working on cell incubators for cultivated meat and other applications ,Cultivated,Bioprocessing infrastructure and equipment,Bioprocess design,Other,,,U.S. and Canada,Canada,Ontario,Ottawa,https://incuvers.com/,2018,Sebastian Hadjiantoniou. Andrew Pelling,Capture.JPG (https://v5.airtableusercontent.com/v1/14/14/1674252000000/0_OoG0Rg6kc7iRdbGuZ2yA/k_cOdmzO9l5E_dPrKehIJXKlcbS7A-BmuAy7iReChpJnM4uc35IIVPw26o8uWe-D-bb5WsN7me-tI4rZPjm7LZa8uUnFozsI0OQbooxMNUc/ggQGtinjXyzE-HRD2Imoa2UAhzBiqZyq8DxtG8h238I)
Ospin Modular Bioprocessing,Startup providing bioreactor systems for cultivated meat and tissue engineering uses ,Cultivated,Bioprocessing infrastructure and equipment,Bioprocess design,Ground meat,Beef/veal,,Europe,Germany,,Berlin,https://ospin.de/,2014,Jan Saam,ospin-logo-500.png (https://v5.airtableusercontent.com/v1/14/14/1674252000000/G6LD6Sw8ipYXJw9npAy_1A/xAk-_zEg6_yLm7UJrt5-OLICUeoSmMTBjyEscYDVzRsPxIHhMycMLxGjLV5BD2qaBFmG1dHOTpfkF-UREyWFmuHwPY2nuxCtiw6TJROeR7o/bAlICq0_wIzCBME71QVPP8S3LNnXlviOQkPxiwwCsPo)
Future Fields,Canada-based startup working on serum free cell culture media for cultivated meat and milk,Cultivated,Ingredients and inputs,Cell culture media,"Whole muscle meat,Milk",,,U.S. and Canada,Canada,AB,Edmonton,https://www.futurefields.io/,2017,"Matthew Anderson-Baron, Lejjy Gafour, Jalene Anderson-Baron",5e2f414f78b2070e1cbe975a_Logo_A_SVG.svg (https://v5.airtableusercontent.com/v1/14/14/1674252000000/Os7_MvTy0_thpGqfbgXz0Q/Ounyi3yYGQVsMazce5Vdpyx5npKjdeVaDRcM2j2oc3272FHl828TjEto8aP48W0whL0BhacEVbL6NEIcrZILp0jJEKOvNkvnAa9kFmQNjybRKCka-YKk-yEPhHUfVDBa/ZcJh3WOKF8LEpIW8wCM1cEoq9ubfhR0beswllK9_K5A)
Vegshelf,B2B Platform for retail-ready plant-based food products,Plant-based,"Contract manufacturing/processing,Other",,,,,Europe,Germany,,Dusseldorf,"
www.vegshelf.com",2018,"Baiba Soika, Marcis Lakstigala",Screen Shot 2021-01-09 at 12_30_35 AM.png (https://v5.airtableusercontent.com/v1/14/14/1674252000000/MNGP1b3r_FWZMuJTlb1YuQ/7n3p4tYdKwNNJfT-LBquPcQN-7T4LR8Gr8d3UpRRXHHBgZy5oXuaBZdAQd14P4G6e2qR3hZm2VjM9TJtLfcQ-LnzPsD6roaS--cSxATkAHcz1WZT1DaCNyxuc9JDBrWX/Bx7R4reEupYvnUDUH2gmfz-oe2QzXUCqpfV2SpwzGOo)
